name,role,description,device_type,manufacturer,site,location,rack,status,platform,tenant,position,face
US-CHI-DC1-SPINE-01,Spine Switch,Primary Fabric Spine 01,Nexus 9508,Cisco,US-CHI-DC1,MDF - Network Room,RK-US-CHI-DC1-CORE-01,active,Cisco NX-OS,IT Operations,1,front
US-CHI-DC1-SPINE-02,Spine Switch,Primary Fabric Spine 02,Nexus 9508,Cisco,US-CHI-DC1,MDF - Network Room,RK-US-CHI-DC1-CORE-01,active,Cisco NX-OS,IT Operations,14,front
US-CHI-DC1-BORDER-01,Border Leaf,External Connectivity A,Nexus 93180YC-FX,Cisco,US-CHI-DC1,MDF - Network Room,RK-US-CHI-DC1-CORE-01,active,Cisco NX-OS,IT Operations,45,front
US-CHI-DC1-BORDER-02,Border Leaf,External Connectivity B,Nexus 93180YC-FX,Cisco,US-CHI-DC1,MDF - Network Room,RK-US-CHI-DC1-CORE-01,active,Cisco NX-OS,IT Operations,44,front
US-CHI-DC1-FW-01,Firewall,DC Edge Firewall Primary,FPR2130-NGFW-K9,Cisco,US-CHI-DC1,MDF - Network Room,RK-US-CHI-DC1-CORE-02,active,Cisco FTD,IT Operations,48,front
US-CHI-DC1-FW-02,Firewall,DC Edge Firewall Redundant,FPR2130-NGFW-K9,Cisco,US-CHI-DC1,MDF - Network Room,RK-US-CHI-DC1-CORE-02,active,Cisco FTD,IT Operations,46,front
US-CHI-DC1-EDGE-01,Edge Router,Internet Peering Router A,ASR1001-X,Cisco,US-CHI-DC1,Meet-Me Room (MMR),RK-US-CHI-DC1-NET-01,active,Cisco IOS-XE,IT Operations,48,front
US-CHI-DC1-EDGE-02,Edge Router,Internet Peering Router B,ASR1001-X,Cisco,US-CHI-DC1,Meet-Me Room (MMR),RK-US-CHI-DC1-NET-01,active,Cisco IOS-XE,IT Operations,46,front
US-CHI-DC1-LEAF-01,Leaf Switch,ToR Leaf – Rack SRV-01,Nexus 93180YC-FX,Cisco,US-CHI-DC1,Data Hall 01,RK-US-CHI-DC1-SRV-01,active,Cisco NX-OS,IT Operations,42,front
US-CHI-DC1-LEAF-02,Leaf Switch,ToR Leaf – Rack SRV-02,Nexus 93180YC-FX,Cisco,US-CHI-DC1,Data Hall 01,RK-US-CHI-DC1-SRV-02,active,Cisco NX-OS,IT Operations,42,front
US-CHI-DC1-LEAF-03,Leaf Switch,ToR Leaf – Rack SRV-03,Nexus 93180YC-FX,Cisco,US-CHI-DC1,Data Hall 02,RK-US-CHI-DC1-SRV-03,active,Cisco NX-OS,IT Operations,42,front
US-CHI-DC1-ACC-01,Access Switch,Staging Area Access,Catalyst 9300-48P,Cisco,US-CHI-DC1,Staging Area,RK-US-CHI-DC1-STG-01,active,Cisco IOS-XE,IT Operations,45,front
US-LAX-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,US-LAX-BO1,MDF - Server Room,RK-US-LAX-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
US-LAX-BO1-ACC-01,Access Switch,IDF 01 Access Switch,Catalyst 9200-48T,Cisco,US-LAX-BO1,IDF 01 - Network Closet,RK-US-LAX-BO1-ACC-01,active,Cisco IOS-XE,IT Operations,12,front
US-LAX-BO1-ACC-02,Access Switch,Floor 01 Access Switch,Catalyst 9200-48T,Cisco,US-LAX-BO1,Floor 01,RK-US-LAX-BO1-ACC-02,active,Cisco IOS-XE,IT Operations,12,front
US-LAX-BO1-ACC-03,Access Switch,Floor 02 Access Switch,Catalyst 9200-48T,Cisco,US-LAX-BO1,Floor 02,RK-US-LAX-BO1-ACC-03,active,Cisco IOS-XE,IT Operations,12,front
US-LAX-BO1-WAP-01,Wireless Access Point,Floor 01 WiFi AP,Catalyst 9130AXI-E,Cisco,US-LAX-BO1,Floor 01,,active,Cisco AP CAPWAP,IT Operations,,
US-DAL-BO1-BR-01,Branch Router,WAN Edge Router,Catalyst 8300-1N1S-6T,Cisco,US-DAL-BO1,MDF - Server Room,RK-US-DAL-BO1-SRV-01,active,Cisco IOS-XE,IT Operations,42,front
