device_name,cluster_name
US-CHI-DC1-ESX-01,US-CHI-DC1-ESX-CLUSTER
US-CHI-DC1-ESX-02,US-CHI-DC1-ESX-CLUSTER
US-CHI-DC1-ESX-03,US-CHI-DC1-ESX-CLUSTER
FR-PAR-DC1-ESX-01,FR-PAR-DC1-ESX-CLUSTER
FR-PAR-DC1-ESX-02,FR-PAR-DC1-ESX-CLUSTER
FR-PAR-DC1-ESX-03,FR-PAR-DC1-ESX-CLUSTER
AE-DXB-DC1-ESX-01,AE-DXB-DC1-ESX-CLUSTER
AE-DXB-DC1-ESX-02,AE-DXB-DC1-ESX-CLUSTER
AE-DXB-DC1-ESX-03,AE-DXB-DC1-ESX-CLUSTER
ZA-JNB-DC1-ESX-01,ZA-JNB-DC1-ESX-CLUSTER
ZA-JNB-DC1-ESX-02,ZA-JNB-DC1-ESX-CLUSTER
ZA-JNB-DC1-ESX-03,ZA-JNB-DC1-ESX-CLUSTER
HK-HKG-DC1-ESX-01,HK-HKG-DC1-ESX-CLUSTER
HK-HKG-DC1-ESX-02,HK-HKG-DC1-ESX-CLUSTER
HK-HKG-DC1-ESX-03,HK-HKG-DC1-ESX-CLUSTER
JP-TYO-DC1-ESX-01,JP-TYO-DC1-ESX-CLUSTER
JP-TYO-DC1-ESX-02,JP-TYO-DC1-ESX-CLUSTER
JP-TYO-DC1-ESX-03,JP-TYO-DC1-ESX-CLUSTER
