name,site,parent,slug,status,tenant,description
Data Hall 01,US-CHI-DC1,,data-hall-01-us-chi-dc1,active,IT Operations,Primary compute and server floor
Data Hall 02,US-CHI-DC1,,data-hall-02-us-chi-dc1,active,IT Operations,Secondary compute and server floor
MDF - Network Room,US-CHI-DC1,,mdf-network-room-us-chi-dc1,active,IT Operations,DC network core room (spine / leaf / core)
Meet-Me Room (MMR),US-CHI-DC1,,mmr-us-chi-dc1,active,IT Operations,Carrier hand-off and cross-connect area
Staging Area,US-CHI-DC1,,staging-area-us-chi-dc1,active,IT Operations,Equipment staging and burn-in area
Office - NOC,US-CHI-DC1,,noc-us-chi-dc1,active,IT Operations,Network Operations Center
MDF - Server Room,US-LAX-BO1,,mdf-server-room-us-lax-bo1,active,IT Operations,Main Distribution Frame (primary server / network room)
IDF 01 - Network Closet,US-LAX-BO1,,idf01-us-lax-bo1,active,IT Operations,Intermediate Distribution Frame – Floor 1
Floor 01,US-LAX-BO1,,floor-01-us-lax-bo1,active,IT Operations,Office floor 1
Floor 02,US-LAX-BO1,,floor-02-us-lax-bo1,active,IT Operations,Office floor 2
MDF - Server Room,US-DAL-BO1,,mdf-server-room-us-dal-bo1,active,IT Operations,Main Distribution Frame (primary server / network room)
IDF 01 - Network Closet,US-DAL-BO1,,idf01-us-dal-bo1,active,IT Operations,Intermediate Distribution Frame – Floor 1
Floor 01,US-DAL-BO1,,floor-01-us-dal-bo1,active,IT Operations,Office floor 1
Floor 02,US-DAL-BO1,,floor-02-us-dal-bo1,active,IT Operations,Office floor 2
MDF - Server Room,US-ATL-BO1,,mdf-server-room-us-atl-bo1,active,IT Operations,Main Distribution Frame (primary server / network room)
IDF 01 - Network Closet,US-ATL-BO1,,idf01-us-atl-bo1,active,IT Operations,Intermediate Distribution Frame – Floor 1
Floor 01,US-ATL-BO1,,floor-01-us-atl-bo1,active,IT Operations,Office floor 1
Floor 02,US-ATL-BO1,,floor-02-us-atl-bo1,active,IT Operations,Office floor 2
MDF - Server Room,US-SEA-BO1,,mdf-server-room-us-sea-bo1,active,IT Operations,Main Distribution Frame (primary server / network room)
IDF 01 - Network Closet,US-SEA-BO1,,idf01-us-sea-bo1,active,IT Operations,Intermediate Distribution Frame – Floor 1
Floor 01,US-SEA-BO1,,floor-01-us-sea-bo1,active,IT Operations,Office floor 1
Floor 02,US-SEA-BO1,,floor-02-us-sea-bo1,active,IT Operations,Office floor 2
MDF - Server Room,US-MIA-BO1,,mdf-server-room-us-mia-bo1,active,IT Operations,Main Distribution Frame (primary server / network room)
IDF 01 - Network Closet,US-MIA-BO1,,idf01-us-mia-bo1,active,IT Operations,Intermediate Distribution Frame – Floor 1
Floor 01,US-MIA-BO1,,floor-01-us-mia-bo1,active,IT Operations,Office floor 1
Floor 02,US-MIA-BO1,,floor-02-us-mia-bo1,active,IT Operations,Office floor 2
MDF - Server Room,US-DEN-BO1,,mdf-server-room-us-den-bo1,active,IT Operations,Main Distribution Frame (primary server / network room)
IDF 01 - Network Closet,US-DEN-BO1,,idf01-us-den-bo1,active,IT Operations,Intermediate Distribution Frame – Floor 1
Floor 01,US-DEN-BO1,,floor-01-us-den-bo1,active,IT Operations,Office floor 1
Floor 02,US-DEN-BO1,,floor-02-us-den-bo1,active,IT Operations,Office floor 2
MDF - Server Room,US-BOS-BO1,,mdf-server-room-us-bos-bo1,active,IT Operations,Main Distribution Frame (primary server / network room)
