name,site,cluster,platform,vcpus,memory,disk,description,tenant
US-CHI-DC1-AD-01,US-CHI-DC1,US-CHI-DC1-ESX-CLUSTER,windows-server-2025,8,16384,1000000,Primary Active Directory / DNS,IT Operations
US-CHI-DC1-AD-02,US-CHI-DC1,US-CHI-DC1-ESX-CLUSTER,windows-server-2025,8,16384,1000000,Secondary Active Directory / DNS,IT Operations
US-CHI-DC1-WEB-01,US-CHI-DC1,US-CHI-DC1-ESX-CLUSTER,ubuntu-24-04-lts,8,16384,500000,Frontend Web Server 01,IT Operations
US-CHI-DC1-WEB-02,US-CHI-DC1,US-CHI-DC1-ESX-CLUSTER,ubuntu-24-04-lts,8,16384,500000,Frontend Web Server 02,IT Operations
US-CHI-DC1-APP-01,US-CHI-DC1,US-CHI-DC1-ESX-CLUSTER,ubuntu-24-04-lts,8,16384,1500000,Application Server 01,IT Operations
US-CHI-DC1-APP-02,US-CHI-DC1,US-CHI-DC1-ESX-CLUSTER,ubuntu-24-04-lts,8,16384,1500000,Application Server 02,IT Operations
US-CHI-DC1-DB-01,US-CHI-DC1,US-CHI-DC1-ESX-CLUSTER,centos-stream-9,16,32768,2000000,Database Server – Primary,IT Operations
US-CHI-DC1-DB-02,US-CHI-DC1,US-CHI-DC1-ESX-CLUSTER,centos-stream-9,16,32768,2000000,Database Server – Secondary,IT Operations
US-CHI-DC1-MGMT-01,US-CHI-DC1,US-CHI-DC1-ESX-CLUSTER,ubuntu-24-04-lts,8,16384,1000000,Management and Jump Host,IT Operations
US-CHI-DC1-LOG-01,US-CHI-DC1,US-CHI-DC1-ESX-CLUSTER,ubuntu-24-04-lts,8,12288,1000000,Centralised Logging and Telemetry,IT Operations
FR-PAR-DC1-AD-01,FR-PAR-DC1,FR-PAR-DC1-ESX-CLUSTER,windows-server-2025,8,16384,1000000,Primary Active Directory / DNS,IT Operations
FR-PAR-DC1-AD-02,FR-PAR-DC1,FR-PAR-DC1-ESX-CLUSTER,windows-server-2025,8,16384,1000000,Secondary Active Directory / DNS,IT Operations
FR-PAR-DC1-WEB-01,FR-PAR-DC1,FR-PAR-DC1-ESX-CLUSTER,ubuntu-24-04-lts,8,16384,500000,Frontend Web Server 01,IT Operations
FR-PAR-DC1-WEB-02,FR-PAR-DC1,FR-PAR-DC1-ESX-CLUSTER,ubuntu-24-04-lts,8,16384,500000,Frontend Web Server 02,IT Operations
FR-PAR-DC1-APP-01,FR-PAR-DC1,FR-PAR-DC1-ESX-CLUSTER,ubuntu-24-04-lts,8,16384,1500000,Application Server 01,IT Operations
FR-PAR-DC1-APP-02,FR-PAR-DC1,FR-PAR-DC1-ESX-CLUSTER,ubuntu-24-04-lts,8,16384,1500000,Application Server 02,IT Operations
FR-PAR-DC1-DB-01,FR-PAR-DC1,FR-PAR-DC1-ESX-CLUSTER,centos-stream-9,16,32768,2000000,Database Server – Primary,IT Operations
FR-PAR-DC1-DB-02,FR-PAR-DC1,FR-PAR-DC1-ESX-CLUSTER,centos-stream-9,16,32768,2000000,Database Server – Secondary,IT Operations
FR-PAR-DC1-MGMT-01,FR-PAR-DC1,FR-PAR-DC1-ESX-CLUSTER,ubuntu-24-04-lts,8,16384,1000000,Management and Jump Host,IT Operations
FR-PAR-DC1-LOG-01,FR-PAR-DC1,FR-PAR-DC1-ESX-CLUSTER,ubuntu-24-04-lts,8,12288,1000000,Centralised Logging and Telemetry,IT Operations
AE-DXB-DC1-AD-01,AE-DXB-DC1,AE-DXB-DC1-ESX-CLUSTER,windows-server-2025,8,16384,1000000,Primary Active Directory / DNS,IT Operations
