vm_name,interface,prefix,vrf,status,tenant,description
US-CHI-DC1-AD-01,eth0,10.1.51.0/24,CORP-VRF,active,IT Operations,Management IP – US-CHI-DC1-AD-01
US-CHI-DC1-AD-02,eth0,10.1.51.0/24,CORP-VRF,active,IT Operations,Management IP – US-CHI-DC1-AD-02
US-CHI-DC1-WEB-01,eth0,10.1.51.0/24,CORP-VRF,active,IT Operations,Management IP – US-CHI-DC1-WEB-01
US-CHI-DC1-WEB-02,eth0,10.1.51.0/24,CORP-VRF,active,IT Operations,Management IP – US-CHI-DC1-WEB-02
US-CHI-DC1-APP-01,eth0,10.1.51.0/24,CORP-VRF,active,IT Operations,Management IP – US-CHI-DC1-APP-01
US-CHI-DC1-APP-02,eth0,10.1.51.0/24,CORP-VRF,active,IT Operations,Management IP – US-CHI-DC1-APP-02
US-CHI-DC1-DB-01,eth0,10.1.51.0/24,CORP-VRF,active,IT Operations,Management IP – US-CHI-DC1-DB-01
US-CHI-DC1-DB-02,eth0,10.1.51.0/24,CORP-VRF,active,IT Operations,Management IP – US-CHI-DC1-DB-02
US-CHI-DC1-MGMT-01,eth0,10.1.51.0/24,CORP-VRF,active,IT Operations,Management IP – US-CHI-DC1-MGMT-01
US-CHI-DC1-LOG-01,eth0,10.1.51.0/24,CORP-VRF,active,IT Operations,Management IP – US-CHI-DC1-LOG-01
FR-PAR-DC1-AD-01,eth0,10.4.51.0/24,CORP-VRF,active,IT Operations,Management IP – FR-PAR-DC1-AD-01
FR-PAR-DC1-AD-02,eth0,10.4.51.0/24,CORP-VRF,active,IT Operations,Management IP – FR-PAR-DC1-AD-02
FR-PAR-DC1-WEB-01,eth0,10.4.51.0/24,CORP-VRF,active,IT Operations,Management IP – FR-PAR-DC1-WEB-01
FR-PAR-DC1-WEB-02,eth0,10.4.51.0/24,CORP-VRF,active,IT Operations,Management IP – FR-PAR-DC1-WEB-02
FR-PAR-DC1-APP-01,eth0,10.4.51.0/24,CORP-VRF,active,IT Operations,Management IP – FR-PAR-DC1-APP-01
FR-PAR-DC1-APP-02,eth0,10.4.51.0/24,CORP-VRF,active,IT Operations,Management IP – FR-PAR-DC1-APP-02
FR-PAR-DC1-DB-01,eth0,10.4.51.0/24,CORP-VRF,active,IT Operations,Management IP – FR-PAR-DC1-DB-01
FR-PAR-DC1-DB-02,eth0,10.4.51.0/24,CORP-VRF,active,IT Operations,Management IP – FR-PAR-DC1-DB-02
FR-PAR-DC1-MGMT-01,eth0,10.4.51.0/24,CORP-VRF,active,IT Operations,Management IP – FR-PAR-DC1-MGMT-01
FR-PAR-DC1-LOG-01,eth0,10.4.51.0/24,CORP-VRF,active,IT Operations,Management IP – FR-PAR-DC1-LOG-01
AE-DXB-DC1-AD-01,eth0,10.6.51.0/24,CORP-VRF,active,IT Operations,Management IP – AE-DXB-DC1-AD-01
AE-DXB-DC1-AD-02,eth0,10.6.51.0/24,CORP-VRF,active,IT Operations,Management IP – AE-DXB-DC1-AD-02
AE-DXB-DC1-WEB-01,eth0,10.6.51.0/24,CORP-VRF,active,IT Operations,Management IP – AE-DXB-DC1-WEB-01
AE-DXB-DC1-WEB-02,eth0,10.6.51.0/24,CORP-VRF,active,IT Operations,Management IP – AE-DXB-DC1-WEB-02
AE-DXB-DC1-APP-01,eth0,10.6.51.0/24,CORP-VRF,active,IT Operations,Management IP – AE-DXB-DC1-APP-01
AE-DXB-DC1-APP-02,eth0,10.6.51.0/24,CORP-VRF,active,IT Operations,Management IP – AE-DXB-DC1-APP-02
AE-DXB-DC1-DB-01,eth0,10.6.51.0/24,CORP-VRF,active,IT Operations,Management IP – AE-DXB-DC1-DB-01
AE-DXB-DC1-DB-02,eth0,10.6.51.0/24,CORP-VRF,active,IT Operations,Management IP – AE-DXB-DC1-DB-02
AE-DXB-DC1-MGMT-01,eth0,10.6.51.0/24,CORP-VRF,active,IT Operations,Management IP – AE-DXB-DC1-MGMT-01
AE-DXB-DC1-LOG-01,eth0,10.6.51.0/24,CORP-VRF,active,IT Operations,Management IP – AE-DXB-DC1-LOG-01
ZA-JNB-DC1-AD-01,eth0,10.7.51.0/24,CORP-VRF,active,IT Operations,Management IP – ZA-JNB-DC1-AD-01
ZA-JNB-DC1-AD-02,eth0,10.7.51.0/24,CORP-VRF,active,IT Operations,Management IP – ZA-JNB-DC1-AD-02
ZA-JNB-DC1-WEB-01,eth0,10.7.51.0/24,CORP-VRF,active,IT Operations,Management IP – ZA-JNB-DC1-WEB-01
ZA-JNB-DC1-WEB-02,eth0,10.7.51.0/24,CORP-VRF,active,IT Operations,Management IP – ZA-JNB-DC1-WEB-02
ZA-JNB-DC1-APP-01,eth0,10.7.51.0/24,CORP-VRF,active,IT Operations,Management IP – ZA-JNB-DC1-APP-01
ZA-JNB-DC1-APP-02,eth0,10.7.51.0/24,CORP-VRF,active,IT Operations,Management IP – ZA-JNB-DC1-APP-02
ZA-JNB-DC1-DB-01,eth0,10.7.51.0/24,CORP-VRF,active,IT Operations,Management IP – ZA-JNB-DC1-DB-01
ZA-JNB-DC1-DB-02,eth0,10.7.51.0/24,CORP-VRF,active,IT Operations,Management IP – ZA-JNB-DC1-DB-02
ZA-JNB-DC1-MGMT-01,eth0,10.7.51.0/24,CORP-VRF,active,IT Operations,Management IP – ZA-JNB-DC1-MGMT-01
ZA-JNB-DC1-LOG-01,eth0,10.7.51.0/24,CORP-VRF,active,IT Operations,Management IP – ZA-JNB-DC1-LOG-01
HK-HKG-DC1-AD-01,eth0,10.8.51.0/24,CORP-VRF,active,IT Operations,Management IP – HK-HKG-DC1-AD-01
HK-HKG-DC1-AD-02,eth0,10.8.51.0/24,CORP-VRF,active,IT Operations,Management IP – HK-HKG-DC1-AD-02
HK-HKG-DC1-WEB-01,eth0,10.8.51.0/24,CORP-VRF,active,IT Operations,Management IP – HK-HKG-DC1-WEB-01
HK-HKG-DC1-WEB-02,eth0,10.8.51.0/24,CORP-VRF,active,IT Operations,Management IP – HK-HKG-DC1-WEB-02
HK-HKG-DC1-APP-01,eth0,10.8.51.0/24,CORP-VRF,active,IT Operations,Management IP – HK-HKG-DC1-APP-01
HK-HKG-DC1-APP-02,eth0,10.8.51.0/24,CORP-VRF,active,IT Operations,Management IP – HK-HKG-DC1-APP-02
HK-HKG-DC1-DB-01,eth0,10.8.51.0/24,CORP-VRF,active,IT Operations,Management IP – HK-HKG-DC1-DB-01
HK-HKG-DC1-DB-02,eth0,10.8.51.0/24,CORP-VRF,active,IT Operations,Management IP – HK-HKG-DC1-DB-02
HK-HKG-DC1-MGMT-01,eth0,10.8.51.0/24,CORP-VRF,active,IT Operations,Management IP – HK-HKG-DC1-MGMT-01
HK-HKG-DC1-LOG-01,eth0,10.8.51.0/24,CORP-VRF,active,IT Operations,Management IP – HK-HKG-DC1-LOG-01
JP-TYO-DC1-AD-01,eth0,10.11.51.0/24,CORP-VRF,active,IT Operations,Management IP – JP-TYO-DC1-AD-01
JP-TYO-DC1-AD-02,eth0,10.11.51.0/24,CORP-VRF,active,IT Operations,Management IP – JP-TYO-DC1-AD-02
JP-TYO-DC1-WEB-01,eth0,10.11.51.0/24,CORP-VRF,active,IT Operations,Management IP – JP-TYO-DC1-WEB-01
JP-TYO-DC1-WEB-02,eth0,10.11.51.0/24,CORP-VRF,active,IT Operations,Management IP – JP-TYO-DC1-WEB-02
JP-TYO-DC1-APP-01,eth0,10.11.51.0/24,CORP-VRF,active,IT Operations,Management IP – JP-TYO-DC1-APP-01
JP-TYO-DC1-APP-02,eth0,10.11.51.0/24,CORP-VRF,active,IT Operations,Management IP – JP-TYO-DC1-APP-02
JP-TYO-DC1-DB-01,eth0,10.11.51.0/24,CORP-VRF,active,IT Operations,Management IP – JP-TYO-DC1-DB-01
JP-TYO-DC1-DB-02,eth0,10.11.51.0/24,CORP-VRF,active,IT Operations,Management IP – JP-TYO-DC1-DB-02
JP-TYO-DC1-MGMT-01,eth0,10.11.51.0/24,CORP-VRF,active,IT Operations,Management IP – JP-TYO-DC1-MGMT-01
JP-TYO-DC1-LOG-01,eth0,10.11.51.0/24,CORP-VRF,active,IT Operations,Management IP – JP-TYO-DC1-LOG-01
