side_a_device,side_a_type,side_a_name,side_b_device,side_b_type,side_b_name,type,status,color,length,length_unit,description
US-CHI-DC1-LEAF-01,dcim.interface,Ethernet1/11,US-CHI-DC1-ESX-01,dcim.interface,Gig-E 1,smf-os2,connected,4caf50,10,m,ESX-01 to Leaf-01 LAG Po1
US-CHI-DC1-LEAF-01,dcim.interface,Ethernet1/12,US-CHI-DC1-ESX-01,dcim.interface,Gig-E 2,smf-os2,connected,4caf50,10,m,ESX-01 to Leaf-01 LAG Po1
US-CHI-DC1-LEAF-01,dcim.interface,Ethernet1/13,US-CHI-DC1-ESX-02,dcim.interface,Gig-E 1,smf-os2,connected,2196f3,10,m,ESX-02 to Leaf-01 LAG Po2
US-CHI-DC1-LEAF-01,dcim.interface,Ethernet1/14,US-CHI-DC1-ESX-02,dcim.interface,Gig-E 2,smf-os2,connected,2196f3,10,m,ESX-02 to Leaf-01 LAG Po2
US-CHI-DC1-LEAF-02,dcim.interface,Ethernet1/11,US-CHI-DC1-ESX-02,dcim.interface,Gig-E 3,smf-os2,connected,ff9800,12,m,ESX-02 to Leaf-02 LAG Po1
US-CHI-DC1-LEAF-02,dcim.interface,Ethernet1/12,US-CHI-DC1-ESX-02,dcim.interface,Gig-E 4,smf-os2,connected,ff9800,12,m,ESX-02 to Leaf-02 LAG Po1
US-CHI-DC1-LEAF-02,dcim.interface,Ethernet1/13,US-CHI-DC1-ESX-03,dcim.interface,Gig-E 1,smf-os2,connected,9c27b0,10,m,ESX-03 to Leaf-02 LAG Po2
US-CHI-DC1-LEAF-02,dcim.interface,Ethernet1/14,US-CHI-DC1-ESX-03,dcim.interface,Gig-E 2,smf-os2,connected,9c27b0,10,m,ESX-03 to Leaf-02 LAG Po2
FR-PAR-DC1-LEAF-01,dcim.interface,Ethernet1/11,FR-PAR-DC1-ESX-01,dcim.interface,Gig-E 1,smf-os2,connected,4caf50,10,m,ESX-01 to Leaf-01 LAG Po1
FR-PAR-DC1-LEAF-01,dcim.interface,Ethernet1/12,FR-PAR-DC1-ESX-01,dcim.interface,Gig-E 2,smf-os2,connected,4caf50,10,m,ESX-01 to Leaf-01 LAG Po1
FR-PAR-DC1-LEAF-01,dcim.interface,Ethernet1/13,FR-PAR-DC1-ESX-02,dcim.interface,Gig-E 1,smf-os2,connected,2196f3,10,m,ESX-02 to Leaf-01 LAG Po2
FR-PAR-DC1-LEAF-01,dcim.interface,Ethernet1/14,FR-PAR-DC1-ESX-02,dcim.interface,Gig-E 2,smf-os2,connected,2196f3,10,m,ESX-02 to Leaf-01 LAG Po2
FR-PAR-DC1-LEAF-02,dcim.interface,Ethernet1/11,FR-PAR-DC1-ESX-02,dcim.interface,Gig-E 3,smf-os2,connected,ff9800,12,m,ESX-02 to Leaf-02 LAG Po1
FR-PAR-DC1-LEAF-02,dcim.interface,Ethernet1/12,FR-PAR-DC1-ESX-02,dcim.interface,Gig-E 4,smf-os2,connected,ff9800,12,m,ESX-02 to Leaf-02 LAG Po1
FR-PAR-DC1-LEAF-02,dcim.interface,Ethernet1/13,FR-PAR-DC1-ESX-03,dcim.interface,Gig-E 1,smf-os2,connected,9c27b0,10,m,ESX-03 to Leaf-02 LAG Po2
FR-PAR-DC1-LEAF-02,dcim.interface,Ethernet1/14,FR-PAR-DC1-ESX-03,dcim.interface,Gig-E 2,smf-os2,connected,9c27b0,10,m,ESX-03 to Leaf-02 LAG Po2
AE-DXB-DC1-LEAF-01,dcim.interface,Ethernet1/11,AE-DXB-DC1-ESX-01,dcim.interface,Gig-E 1,smf-os2,connected,4caf50,10,m,ESX-01 to Leaf-01 LAG Po1
AE-DXB-DC1-LEAF-01,dcim.interface,Ethernet1/12,AE-DXB-DC1-ESX-01,dcim.interface,Gig-E 2,smf-os2,connected,4caf50,10,m,ESX-01 to Leaf-01 LAG Po1
AE-DXB-DC1-LEAF-01,dcim.interface,Ethernet1/13,AE-DXB-DC1-ESX-02,dcim.interface,Gig-E 1,smf-os2,connected,2196f3,10,m,ESX-02 to Leaf-01 LAG Po2
AE-DXB-DC1-LEAF-01,dcim.interface,Ethernet1/14,AE-DXB-DC1-ESX-02,dcim.interface,Gig-E 2,smf-os2,connected,2196f3,10,m,ESX-02 to Leaf-01 LAG Po2
AE-DXB-DC1-LEAF-02,dcim.interface,Ethernet1/11,AE-DXB-DC1-ESX-02,dcim.interface,Gig-E 3,smf-os2,connected,ff9800,12,m,ESX-02 to Leaf-02 LAG Po1
AE-DXB-DC1-LEAF-02,dcim.interface,Ethernet1/12,AE-DXB-DC1-ESX-02,dcim.interface,Gig-E 4,smf-os2,connected,ff9800,12,m,ESX-02 to Leaf-02 LAG Po1
AE-DXB-DC1-LEAF-02,dcim.interface,Ethernet1/13,AE-DXB-DC1-ESX-03,dcim.interface,Gig-E 1,smf-os2,connected,9c27b0,10,m,ESX-03 to Leaf-02 LAG Po2
AE-DXB-DC1-LEAF-02,dcim.interface,Ethernet1/14,AE-DXB-DC1-ESX-03,dcim.interface,Gig-E 2,smf-os2,connected,9c27b0,10,m,ESX-03 to Leaf-02 LAG Po2
ZA-JNB-DC1-LEAF-01,dcim.interface,Ethernet1/11,ZA-JNB-DC1-ESX-01,dcim.interface,Gig-E 1,smf-os2,connected,4caf50,10,m,ESX-01 to Leaf-01 LAG Po1
ZA-JNB-DC1-LEAF-01,dcim.interface,Ethernet1/12,ZA-JNB-DC1-ESX-01,dcim.interface,Gig-E 2,smf-os2,connected,4caf50,10,m,ESX-01 to Leaf-01 LAG Po1
ZA-JNB-DC1-LEAF-01,dcim.interface,Ethernet1/13,ZA-JNB-DC1-ESX-02,dcim.interface,Gig-E 1,smf-os2,connected,2196f3,10,m,ESX-02 to Leaf-01 LAG Po2
ZA-JNB-DC1-LEAF-01,dcim.interface,Ethernet1/14,ZA-JNB-DC1-ESX-02,dcim.interface,Gig-E 2,smf-os2,connected,2196f3,10,m,ESX-02 to Leaf-01 LAG Po2
ZA-JNB-DC1-LEAF-02,dcim.interface,Ethernet1/11,ZA-JNB-DC1-ESX-02,dcim.interface,Gig-E 3,smf-os2,connected,ff9800,12,m,ESX-02 to Leaf-02 LAG Po1
