prefix,vrf,status,scope_type,scope_id,vlan,description
10.1.1.0/24,CORP-VRF,active,dcim.site,,10,Device Management – US-CHI-DC1
10.1.101.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – US-CHI-DC1
10.1.151.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – US-CHI-DC1
10.1.171.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – US-CHI-DC1
10.1.201.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – US-CHI-DC1
172.17.1.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – US-CHI-DC1
10.1.51.0/24,CORP-VRF,active,dcim.site,,20,Servers / VMs – US-CHI-DC1
10.1.2.0/24,CORP-VRF,active,dcim.site,,10,Device Management – US-LAX-BO1
10.1.102.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – US-LAX-BO1
10.1.152.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – US-LAX-BO1
10.1.172.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – US-LAX-BO1
10.1.202.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – US-LAX-BO1
172.17.2.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – US-LAX-BO1
10.1.3.0/24,CORP-VRF,active,dcim.site,,10,Device Management – US-DAL-BO1
10.1.103.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – US-DAL-BO1
10.1.153.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – US-DAL-BO1
10.1.173.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – US-DAL-BO1
10.1.203.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – US-DAL-BO1
172.17.3.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – US-DAL-BO1
10.1.4.0/24,CORP-VRF,active,dcim.site,,10,Device Management – US-ATL-BO1
10.1.104.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – US-ATL-BO1
10.1.154.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – US-ATL-BO1
10.1.174.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – US-ATL-BO1
10.1.204.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – US-ATL-BO1
172.17.4.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – US-ATL-BO1
10.1.5.0/24,CORP-VRF,active,dcim.site,,10,Device Management – US-SEA-BO1
10.1.105.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – US-SEA-BO1
10.1.155.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – US-SEA-BO1
10.1.175.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – US-SEA-BO1
10.1.205.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – US-SEA-BO1
172.17.5.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – US-SEA-BO1
10.1.6.0/24,CORP-VRF,active,dcim.site,,10,Device Management – US-MIA-BO1
10.1.106.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – US-MIA-BO1
10.1.156.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – US-MIA-BO1
10.1.176.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – US-MIA-BO1
10.1.206.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – US-MIA-BO1
172.17.6.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – US-MIA-BO1
10.1.7.0/24,CORP-VRF,active,dcim.site,,10,Device Management – US-DEN-BO1
10.1.107.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – US-DEN-BO1
10.1.157.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – US-DEN-BO1
10.1.177.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – US-DEN-BO1
10.1.207.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – US-DEN-BO1
172.17.7.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – US-DEN-BO1
10.1.8.0/24,CORP-VRF,active,dcim.site,,10,Device Management – US-BOS-BO1
10.1.108.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – US-BOS-BO1
10.1.158.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – US-BOS-BO1
10.1.178.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – US-BOS-BO1
10.1.208.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – US-BOS-BO1
172.17.8.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – US-BOS-BO1
10.1.9.0/24,CORP-VRF,active,dcim.site,,10,Device Management – US-HOU-BO1
10.1.109.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – US-HOU-BO1
10.1.159.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – US-HOU-BO1
10.1.179.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – US-HOU-BO1
10.1.209.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – US-HOU-BO1
172.17.9.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – US-HOU-BO1
10.1.10.0/24,CORP-VRF,active,dcim.site,,10,Device Management – US-PHX-BO1
10.1.110.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – US-PHX-BO1
10.1.160.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – US-PHX-BO1
10.1.180.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – US-PHX-BO1
10.1.210.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – US-PHX-BO1
172.17.10.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – US-PHX-BO1
10.2.1.0/24,CORP-VRF,active,dcim.site,,10,Device Management – CA-VAN-BO1
10.2.101.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – CA-VAN-BO1
10.2.151.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – CA-VAN-BO1
10.2.171.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – CA-VAN-BO1
10.2.201.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – CA-VAN-BO1
172.18.1.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – CA-VAN-BO1
10.2.2.0/24,CORP-VRF,active,dcim.site,,10,Device Management – CA-MTL-BO1
10.2.102.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – CA-MTL-BO1
10.2.152.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – CA-MTL-BO1
10.2.172.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – CA-MTL-BO1
10.2.202.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – CA-MTL-BO1
172.18.2.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – CA-MTL-BO1
10.2.3.0/24,CORP-VRF,active,dcim.site,,10,Device Management – MX-MEX-BO1
10.2.103.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – MX-MEX-BO1
10.2.153.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – MX-MEX-BO1
10.2.173.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – MX-MEX-BO1
10.2.203.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – MX-MEX-BO1
172.18.3.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – MX-MEX-BO1
10.3.1.0/24,CORP-VRF,active,dcim.site,,10,Device Management – BR-RIO-BO1
10.3.101.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – BR-RIO-BO1
10.3.151.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – BR-RIO-BO1
10.3.171.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – BR-RIO-BO1
10.3.201.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – BR-RIO-BO1
172.19.1.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – BR-RIO-BO1
10.3.2.0/24,CORP-VRF,active,dcim.site,,10,Device Management – CO-BOG-BO1
10.3.102.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – CO-BOG-BO1
10.3.152.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – CO-BOG-BO1
10.3.172.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – CO-BOG-BO1
10.3.202.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – CO-BOG-BO1
172.19.2.0/24,GUEST-VRF,active,dcim.site,,1000,Guest WiFi – CO-BOG-BO1
10.3.3.0/24,CORP-VRF,active,dcim.site,,10,Device Management – AR-BUE-BO1
10.3.103.0/24,CORP-VRF,active,dcim.site,,100,Corporate Users – AR-BUE-BO1
10.3.153.0/24,CORP-VRF,active,dcim.site,,110,VoIP / Telephony – AR-BUE-BO1
10.3.173.0/24,CORP-VRF,active,dcim.site,,120,Corporate Wireless – AR-BUE-BO1
10.3.203.0/24,CORP-VRF,active,dcim.site,,200,IoT / Smart Building – AR-BUE-BO1
