site,name,status,location,tenant,role,rack_type
US-CHI-DC1,RK-US-CHI-DC1-SRV-01,active,Data Hall 01,IT Operations,Compute,NetShelter SX
US-CHI-DC1,RK-US-CHI-DC1-SRV-02,active,Data Hall 01,IT Operations,Compute,NetShelter SX
US-CHI-DC1,RK-US-CHI-DC1-SRV-03,active,Data Hall 02,IT Operations,Compute,NetShelter SX
US-CHI-DC1,RK-US-CHI-DC1-SRV-04,active,Data Hall 02,IT Operations,Compute,NetShelter SX
US-CHI-DC1,RK-US-CHI-DC1-CORE-01,active,MDF - Network Room,IT Operations,Core Networking,Net-Access N-Type
US-CHI-DC1,RK-US-CHI-DC1-CORE-02,active,MDF - Network Room,IT Operations,Core Networking,Net-Access N-Type
US-CHI-DC1,RK-US-CHI-DC1-NET-01,active,Meet-Me Room (MMR),IT Operations,Core Networking,Net-Access N-Type
US-CHI-DC1,RK-US-CHI-DC1-STG-01,active,Staging Area,IT Operations,Staging,Net-Access S-Type
US-LAX-BO1,RK-US-LAX-BO1-SRV-01,active,MDF - Server Room,IT Operations,Compute,NetShelter SX
US-LAX-BO1,RK-US-LAX-BO1-ACC-01,active,IDF 01 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
US-LAX-BO1,RK-US-LAX-BO1-ACC-02,active,Floor 01,IT Operations,Edge/Access,NetShelter Wallmount
US-LAX-BO1,RK-US-LAX-BO1-ACC-03,active,Floor 02,IT Operations,Edge/Access,NetShelter Wallmount
US-DAL-BO1,RK-US-DAL-BO1-SRV-01,active,MDF - Server Room,IT Operations,Compute,NetShelter SX
US-DAL-BO1,RK-US-DAL-BO1-ACC-01,active,IDF 01 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
US-DAL-BO1,RK-US-DAL-BO1-ACC-02,active,Floor 01,IT Operations,Edge/Access,NetShelter Wallmount
US-DAL-BO1,RK-US-DAL-BO1-ACC-03,active,Floor 02,IT Operations,Edge/Access,NetShelter Wallmount
US-ATL-BO1,RK-US-ATL-BO1-SRV-01,active,MDF - Server Room,IT Operations,Compute,NetShelter SX
US-ATL-BO1,RK-US-ATL-BO1-ACC-01,active,IDF 01 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
US-ATL-BO1,RK-US-ATL-BO1-ACC-02,active,Floor 01,IT Operations,Edge/Access,NetShelter Wallmount
US-ATL-BO1,RK-US-ATL-BO1-ACC-03,active,Floor 02,IT Operations,Edge/Access,NetShelter Wallmount
US-SEA-BO1,RK-US-SEA-BO1-SRV-01,active,MDF - Server Room,IT Operations,Compute,NetShelter SX
US-SEA-BO1,RK-US-SEA-BO1-ACC-01,active,IDF 01 - Network Closet,IT Operations,Edge/Access,NetShelter Wallmount
