name,slug,description
US-CHI-DC1-VLANS,us-chi-dc1-vlans,VLAN scope group for US-CHI-DC1
US-LAX-BO1-VLANS,us-lax-bo1-vlans,VLAN scope group for US-LAX-BO1
US-DAL-BO1-VLANS,us-dal-bo1-vlans,VLAN scope group for US-DAL-BO1
US-ATL-BO1-VLANS,us-atl-bo1-vlans,VLAN scope group for US-ATL-BO1
US-SEA-BO1-VLANS,us-sea-bo1-vlans,VLAN scope group for US-SEA-BO1
US-MIA-BO1-VLANS,us-mia-bo1-vlans,VLAN scope group for US-MIA-BO1
US-DEN-BO1-VLANS,us-den-bo1-vlans,VLAN scope group for US-DEN-BO1
US-BOS-BO1-VLANS,us-bos-bo1-vlans,VLAN scope group for US-BOS-BO1
US-HOU-BO1-VLANS,us-hou-bo1-vlans,VLAN scope group for US-HOU-BO1
US-PHX-BO1-VLANS,us-phx-bo1-vlans,VLAN scope group for US-PHX-BO1
CA-VAN-BO1-VLANS,ca-van-bo1-vlans,VLAN scope group for CA-VAN-BO1
CA-MTL-BO1-VLANS,ca-mtl-bo1-vlans,VLAN scope group for CA-MTL-BO1
MX-MEX-BO1-VLANS,mx-mex-bo1-vlans,VLAN scope group for MX-MEX-BO1
BR-RIO-BO1-VLANS,br-rio-bo1-vlans,VLAN scope group for BR-RIO-BO1
CO-BOG-BO1-VLANS,co-bog-bo1-vlans,VLAN scope group for CO-BOG-BO1
AR-BUE-BO1-VLANS,ar-bue-bo1-vlans,VLAN scope group for AR-BUE-BO1
CL-SCL-BO1-VLANS,cl-scl-bo1-vlans,VLAN scope group for CL-SCL-BO1
PE-LIM-BO1-VLANS,pe-lim-bo1-vlans,VLAN scope group for PE-LIM-BO1
FR-PAR-DC1-VLANS,fr-par-dc1-vlans,VLAN scope group for FR-PAR-DC1
FR-PAR-BO1-VLANS,fr-par-bo1-vlans,VLAN scope group for FR-PAR-BO1
DE-MUC-BO1-VLANS,de-muc-bo1-vlans,VLAN scope group for DE-MUC-BO1
DE-FRA-BO1-VLANS,de-fra-bo1-vlans,VLAN scope group for DE-FRA-BO1
ES-MAD-BO1-VLANS,es-mad-bo1-vlans,VLAN scope group for ES-MAD-BO1
IT-MIL-BO1-VLANS,it-mil-bo1-vlans,VLAN scope group for IT-MIL-BO1
IT-ROM-BO1-VLANS,it-rom-bo1-vlans,VLAN scope group for IT-ROM-BO1
CH-ZRH-BO1-VLANS,ch-zrh-bo1-vlans,VLAN scope group for CH-ZRH-BO1
IE-DUB-BO1-VLANS,ie-dub-bo1-vlans,VLAN scope group for IE-DUB-BO1
BE-BRU-BO1-VLANS,be-bru-bo1-vlans,VLAN scope group for BE-BRU-BO1
AT-VIE-BO1-VLANS,at-vie-bo1-vlans,VLAN scope group for AT-VIE-BO1
PT-LIS-BO1-VLANS,pt-lis-bo1-vlans,VLAN scope group for PT-LIS-BO1
SE-STO-BO1-VLANS,se-sto-bo1-vlans,VLAN scope group for SE-STO-BO1
PL-WAW-BO1-VLANS,pl-waw-bo1-vlans,VLAN scope group for PL-WAW-BO1
NO-OSL-BO1-VLANS,no-osl-bo1-vlans,VLAN scope group for NO-OSL-BO1
AE-DXB-DC1-VLANS,ae-dxb-dc1-vlans,VLAN scope group for AE-DXB-DC1
AE-DXB-BO1-VLANS,ae-dxb-bo1-vlans,VLAN scope group for AE-DXB-BO1
SA-RUH-BO1-VLANS,sa-ruh-bo1-vlans,VLAN scope group for SA-RUH-BO1
EG-CAI-BO1-VLANS,eg-cai-bo1-vlans,VLAN scope group for EG-CAI-BO1
ZA-JNB-DC1-VLANS,za-jnb-dc1-vlans,VLAN scope group for ZA-JNB-DC1
NG-LOS-BO1-VLANS,ng-los-bo1-vlans,VLAN scope group for NG-LOS-BO1
KE-NBO-BO1-VLANS,ke-nbo-bo1-vlans,VLAN scope group for KE-NBO-BO1
HK-HKG-DC1-VLANS,hk-hkg-dc1-vlans,VLAN scope group for HK-HKG-DC1
HK-HKG-BO1-VLANS,hk-hkg-bo1-vlans,VLAN scope group for HK-HKG-BO1
CN-SHA-BO1-VLANS,cn-sha-bo1-vlans,VLAN scope group for CN-SHA-BO1
CN-BEJ-BO1-VLANS,cn-bej-bo1-vlans,VLAN scope group for CN-BEJ-BO1
TW-TPE-BO1-VLANS,tw-tpe-bo1-vlans,VLAN scope group for TW-TPE-BO1
TH-BKK-BO1-VLANS,th-bkk-bo1-vlans,VLAN scope group for TH-BKK-BO1
ID-JKT-BO1-VLANS,id-jkt-bo1-vlans,VLAN scope group for ID-JKT-BO1
PH-MNL-BO1-VLANS,ph-mnl-bo1-vlans,VLAN scope group for PH-MNL-BO1
VN-HAN-BO1-VLANS,vn-han-bo1-vlans,VLAN scope group for VN-HAN-BO1
JP-TYO-DC1-VLANS,jp-tyo-dc1-vlans,VLAN scope group for JP-TYO-DC1
JP-TYO-BO1-VLANS,jp-tyo-bo1-vlans,VLAN scope group for JP-TYO-BO1
JP-OSA-BO1-VLANS,jp-osa-bo1-vlans,VLAN scope group for JP-OSA-BO1
KR-SEL-BO1-VLANS,kr-sel-bo1-vlans,VLAN scope group for KR-SEL-BO1
IN-DEL-BO1-VLANS,in-del-bo1-vlans,VLAN scope group for IN-DEL-BO1
IN-HYD-BO1-VLANS,in-hyd-bo1-vlans,VLAN scope group for IN-HYD-BO1
