name,vid,group,role,description,status
DEVICE-MGMT-US-CHI-DC1,10,US-CHI-DC1-VLANS,Infrastructure,Device Management – US-CHI-DC1,active
USERS-US-CHI-DC1,100,US-CHI-DC1-VLANS,User-Data,Corporate User Access – US-CHI-DC1,active
VOICE-US-CHI-DC1,110,US-CHI-DC1-VLANS,Voice,IP Telephony – US-CHI-DC1,active
USR-WIFI-US-CHI-DC1,120,US-CHI-DC1-VLANS,User-Data,Corporate Wireless Data – US-CHI-DC1,active
IOT-US-CHI-DC1,200,US-CHI-DC1-VLANS,IoT,Smart Building and IoT – US-CHI-DC1,active
GUEST-US-CHI-DC1,1000,US-CHI-DC1-VLANS,Guest-Data,Guest WiFi – Internet Only – US-CHI-DC1,active
VM-SERVERS-US-CHI-DC1,20,US-CHI-DC1-VLANS,Servers,VM and Server Network – US-CHI-DC1,active
DEVICE-MGMT-US-LAX-BO1,10,US-LAX-BO1-VLANS,Infrastructure,Device Management – US-LAX-BO1,active
USERS-US-LAX-BO1,100,US-LAX-BO1-VLANS,User-Data,Corporate User Access – US-LAX-BO1,active
VOICE-US-LAX-BO1,110,US-LAX-BO1-VLANS,Voice,IP Telephony – US-LAX-BO1,active
USR-WIFI-US-LAX-BO1,120,US-LAX-BO1-VLANS,User-Data,Corporate Wireless Data – US-LAX-BO1,active
IOT-US-LAX-BO1,200,US-LAX-BO1-VLANS,IoT,Smart Building and IoT – US-LAX-BO1,active
GUEST-US-LAX-BO1,1000,US-LAX-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – US-LAX-BO1,active
DEVICE-MGMT-US-DAL-BO1,10,US-DAL-BO1-VLANS,Infrastructure,Device Management – US-DAL-BO1,active
USERS-US-DAL-BO1,100,US-DAL-BO1-VLANS,User-Data,Corporate User Access – US-DAL-BO1,active
VOICE-US-DAL-BO1,110,US-DAL-BO1-VLANS,Voice,IP Telephony – US-DAL-BO1,active
USR-WIFI-US-DAL-BO1,120,US-DAL-BO1-VLANS,User-Data,Corporate Wireless Data – US-DAL-BO1,active
IOT-US-DAL-BO1,200,US-DAL-BO1-VLANS,IoT,Smart Building and IoT – US-DAL-BO1,active
GUEST-US-DAL-BO1,1000,US-DAL-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – US-DAL-BO1,active
DEVICE-MGMT-US-ATL-BO1,10,US-ATL-BO1-VLANS,Infrastructure,Device Management – US-ATL-BO1,active
USERS-US-ATL-BO1,100,US-ATL-BO1-VLANS,User-Data,Corporate User Access – US-ATL-BO1,active
VOICE-US-ATL-BO1,110,US-ATL-BO1-VLANS,Voice,IP Telephony – US-ATL-BO1,active
USR-WIFI-US-ATL-BO1,120,US-ATL-BO1-VLANS,User-Data,Corporate Wireless Data – US-ATL-BO1,active
IOT-US-ATL-BO1,200,US-ATL-BO1-VLANS,IoT,Smart Building and IoT – US-ATL-BO1,active
GUEST-US-ATL-BO1,1000,US-ATL-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – US-ATL-BO1,active
DEVICE-MGMT-US-SEA-BO1,10,US-SEA-BO1-VLANS,Infrastructure,Device Management – US-SEA-BO1,active
USERS-US-SEA-BO1,100,US-SEA-BO1-VLANS,User-Data,Corporate User Access – US-SEA-BO1,active
VOICE-US-SEA-BO1,110,US-SEA-BO1-VLANS,Voice,IP Telephony – US-SEA-BO1,active
USR-WIFI-US-SEA-BO1,120,US-SEA-BO1-VLANS,User-Data,Corporate Wireless Data – US-SEA-BO1,active
IOT-US-SEA-BO1,200,US-SEA-BO1-VLANS,IoT,Smart Building and IoT – US-SEA-BO1,active
GUEST-US-SEA-BO1,1000,US-SEA-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – US-SEA-BO1,active
DEVICE-MGMT-US-MIA-BO1,10,US-MIA-BO1-VLANS,Infrastructure,Device Management – US-MIA-BO1,active
USERS-US-MIA-BO1,100,US-MIA-BO1-VLANS,User-Data,Corporate User Access – US-MIA-BO1,active
VOICE-US-MIA-BO1,110,US-MIA-BO1-VLANS,Voice,IP Telephony – US-MIA-BO1,active
USR-WIFI-US-MIA-BO1,120,US-MIA-BO1-VLANS,User-Data,Corporate Wireless Data – US-MIA-BO1,active
IOT-US-MIA-BO1,200,US-MIA-BO1-VLANS,IoT,Smart Building and IoT – US-MIA-BO1,active
GUEST-US-MIA-BO1,1000,US-MIA-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – US-MIA-BO1,active
DEVICE-MGMT-US-DEN-BO1,10,US-DEN-BO1-VLANS,Infrastructure,Device Management – US-DEN-BO1,active
USERS-US-DEN-BO1,100,US-DEN-BO1-VLANS,User-Data,Corporate User Access – US-DEN-BO1,active
VOICE-US-DEN-BO1,110,US-DEN-BO1-VLANS,Voice,IP Telephony – US-DEN-BO1,active
USR-WIFI-US-DEN-BO1,120,US-DEN-BO1-VLANS,User-Data,Corporate Wireless Data – US-DEN-BO1,active
IOT-US-DEN-BO1,200,US-DEN-BO1-VLANS,IoT,Smart Building and IoT – US-DEN-BO1,active
GUEST-US-DEN-BO1,1000,US-DEN-BO1-VLANS,Guest-Data,Guest WiFi – Internet Only – US-DEN-BO1,active
