ssid,status,group,vlan,tenant,auth_type,auth_cipher
US-LAX-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-US-LAX-BO1,IT Operations,wpa-enterprise,aes
US-LAX-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-US-LAX-BO1,IT Operations,open,auto
US-LAX-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-US-LAX-BO1,IT Operations,wpa-enterprise,aes
US-DAL-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-US-DAL-BO1,IT Operations,wpa-enterprise,aes
US-DAL-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-US-DAL-BO1,IT Operations,open,auto
US-DAL-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-US-DAL-BO1,IT Operations,wpa-enterprise,aes
US-ATL-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-US-ATL-BO1,IT Operations,wpa-enterprise,aes
US-ATL-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-US-ATL-BO1,IT Operations,open,auto
US-ATL-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-US-ATL-BO1,IT Operations,wpa-enterprise,aes
US-SEA-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-US-SEA-BO1,IT Operations,wpa-enterprise,aes
US-SEA-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-US-SEA-BO1,IT Operations,open,auto
US-SEA-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-US-SEA-BO1,IT Operations,wpa-enterprise,aes
US-MIA-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-US-MIA-BO1,IT Operations,wpa-enterprise,aes
US-MIA-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-US-MIA-BO1,IT Operations,open,auto
US-MIA-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-US-MIA-BO1,IT Operations,wpa-enterprise,aes
US-DEN-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-US-DEN-BO1,IT Operations,wpa-enterprise,aes
US-DEN-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-US-DEN-BO1,IT Operations,open,auto
US-DEN-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-US-DEN-BO1,IT Operations,wpa-enterprise,aes
US-BOS-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-US-BOS-BO1,IT Operations,wpa-enterprise,aes
US-BOS-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-US-BOS-BO1,IT Operations,open,auto
US-BOS-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-US-BOS-BO1,IT Operations,wpa-enterprise,aes
US-HOU-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-US-HOU-BO1,IT Operations,wpa-enterprise,aes
US-HOU-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-US-HOU-BO1,IT Operations,open,auto
US-HOU-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-US-HOU-BO1,IT Operations,wpa-enterprise,aes
US-PHX-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-US-PHX-BO1,IT Operations,wpa-enterprise,aes
US-PHX-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-US-PHX-BO1,IT Operations,open,auto
US-PHX-BO1-IOT-WIFI,active,AMER-IoT-WLAN,IOT-US-PHX-BO1,IT Operations,wpa-enterprise,aes
CA-VAN-BO1-CORP-WIFI,active,AMER-Corporate-WLAN,USR-WIFI-CA-VAN-BO1,IT Operations,wpa-enterprise,aes
CA-VAN-BO1-GUEST-WIFI,active,AMER-Guest-WLAN,GUEST-CA-VAN-BO1,IT Operations,open,auto
