site,name,status,location,tenant,role,rack_type
US-SFO-DC1,RK-US-SFO-DC1-CORE-01,active,MDF Room,Internal,Core Networking,Net-Access S-Type 45U
US-SFO-DC1,RK-US-SFO-DC1-CORE-02,active,MDF Room,Internal,Core Networking,Net-Access S-Type 45U
US-SFO-DC1,RK-US-SFO-DC1-CMP-01,active,Data Hall 01,Internal,Compute,NetShelter SX 42U
US-SFO-DC1,RK-US-SFO-DC1-CMP-02,active,Data Hall 01,Internal,Compute,NetShelter SX 42U
US-SFO-DC1,RK-US-SFO-DC1-CMP-03,active,Data Hall 01,Internal,Compute,NetShelter SX 48U
US-SFO-DC1,RK-US-SFO-DC1-STG-01,active,Staging Area,Internal,Staging,VR Rack 42U
US-SFO-DC1,RK-US-SFO-DC1-ISP-01,active,Meet-Me Room,Internal,ISP Demarcation,Net-Access S-Type 45U
US-SFO-DC1,RK-US-SFO-DC1-MGT-01,active,NOC Room,Internal,Management,VX IT 42U
US-SFO-DC1,RK-US-SFO-DC1-PWR-01,active,UPS Room,Internal,Power,Easy Rack 42U
US-NYC-CO1,RK-US-NYC-CO1-SRV-01,active,MDF Room,Internal,Compute,NetShelter SX 42U
US-NYC-CO1,RK-US-NYC-CO1-CORE-01,active,MDF Room,Internal,Core Networking,Net-Access S-Type 45U
US-NYC-CO1,RK-US-NYC-CO1-ACC-01,active,IDF 01,Internal,Edge Networking,12U Wall Mount Rack
US-NYC-CO1,RK-US-NYC-CO1-ACC-02,active,Floor 01,Internal,Edge Networking,12U Wall Mount Rack
US-NYC-CO1,RK-US-NYC-CO1-ACC-03,active,Floor 02,Internal,Edge Networking,12U Wall Mount Rack
US-NYC-CO1,RK-US-NYC-CO1-MGT-01,active,IT Support Room,Internal,Management,22U Network Cabinet
CA-TOR-BO1,RK-CA-TOR-BO1-SRV-01,active,MDF Room,Internal,Compute,NetShelter SX 42U
CA-TOR-BO1,RK-CA-TOR-BO1-CORE-01,active,MDF Room,Internal,Core Networking,Net-Access S-Type 45U
CA-TOR-BO1,RK-CA-TOR-BO1-ACC-01,active,IDF 01,Internal,Edge Networking,12U Wall Mount Rack
CA-TOR-BO1,RK-CA-TOR-BO1-ACC-02,active,Floor 01,Internal,Edge Networking,12U Wall Mount Rack
CA-TOR-BO1,RK-CA-TOR-BO1-PATCH-01,active,Patch Room,Internal,Patching,22U Network Cabinet
IN-MUM-CO1,RK-IN-MUM-CO1-SRV-01,active,MDF Room,Internal,Compute,NetShelter SX 42U
IN-MUM-CO1,RK-IN-MUM-CO1-CORE-01,active,MDF Room,Internal,Core Networking,Net-Access S-Type 45U
