name,site,parent,slug,status,tenant,description
MDF Room,US-SFO-DC1,,mdf-room-us-sfo-dc1,active,Internal,Primary network distribution room
Data Hall 01,US-SFO-DC1,,data-hall-01-us-sfo-dc1,active,Internal,Primary compute and network rack space
Meet-Me Room,US-SFO-DC1,,meet-me-room-us-sfo-dc1,active,Internal,Carrier and WAN handoff room
Staging Area,US-SFO-DC1,,staging-area-us-sfo-dc1,active,Internal,Device staging and provisioning area
Floor 01,US-NYC-CO1,,floor-01-us-nyc-co1,active,Internal,Corporate office floor 1
Floor 02,US-NYC-CO1,,floor-02-us-nyc-co1,active,Internal,Corporate office floor 2
MDF Room,US-NYC-CO1,,mdf-room-us-nyc-co1,active,Internal,Primary network distribution room
IDF 01,US-NYC-CO1,,idf-01-us-nyc-co1,active,Internal,Access switching and patching room
Floor 01,CA-TOR-BO1,,floor-01-ca-tor-bo1,active,Internal,Branch office floor 1
MDF Room,CA-TOR-BO1,,mdf-room-ca-tor-bo1,active,Internal,Primary network distribution room
IDF 01,CA-TOR-BO1,,idf-01-ca-tor-bo1,active,Internal,Access switching and patching room
Floor 01,IN-MUM-CO1,,floor-01-in-mum-co1,active,Internal,Corporate office floor 1
Floor 02,IN-MUM-CO1,,floor-02-in-mum-co1,active,Internal,Corporate office floor 2
MDF Room,IN-MUM-CO1,,mdf-room-in-mum-co1,active,Internal,Primary network distribution room
IDF 01,IN-MUM-CO1,,idf-01-in-mum-co1,active,Internal,Access switching and patching room
Data Hall 01,IN-MUM-DC1,,data-hall-01-in-mum-dc1,active,Internal,Primary compute and network rack space
Meet-Me Room,IN-MUM-DC1,,meet-me-room-in-mum-dc1,active,Internal,Carrier and WAN handoff room
MDF Room,IN-MUM-DC1,,mdf-room-in-mum-dc1,active,Internal,Core network room
Staging Area,IN-MUM-DC1,,staging-area-in-mum-dc1,active,Internal,Device staging and provisioning area
Lab Floor,IN-HYD-LAB1,,lab-floor-in-hyd-lab1,active,DevLab,Primary testing and validation area
Workbench Area,IN-HYD-LAB1,,workbench-area-in-hyd-lab1,active,DevLab,Engineer workbench and testing space
Storage Room,IN-HYD-LAB1,,storage-room-in-hyd-lab1,active,DevLab,Lab equipment and spare storage
Data Hall 01,SG-SIN-DC1,,data-hall-01-sg-sin-dc1,active,Internal,Primary compute and network rack space
Meet-Me Room,SG-SIN-DC1,,meet-me-room-sg-sin-dc1,active,Internal,Carrier and WAN handoff room
MDF Room,SG-SIN-DC1,,mdf-room-sg-sin-dc1,active,Internal,Core network room
NOC Room,SG-SIN-DC1,,noc-room-sg-sin-dc1,active,Internal,Network operations center
Floor 01,SG-SIN-BO1,,floor-01-sg-sin-bo1,active,Internal,Branch office floor 1
MDF Room,SG-SIN-BO1,,mdf-room-sg-sin-bo1,active,Internal,Primary network distribution room
IDF 01,SG-SIN-BO1,,idf-01-sg-sin-bo1,active,Internal,Access switching and patching room
Data Hall 01,AU-SYD-DC1,,data-hall-01-au-syd-dc1,active,Internal,Primary compute and network rack space
Meet-Me Room,AU-SYD-DC1,,meet-me-room-au-syd-dc1,active,Internal,Carrier and WAN handoff room
MDF Room,AU-SYD-DC1,,mdf-room-au-syd-dc1,active,Internal,Core network room
Staging Area,AU-SYD-DC1,,staging-area-au-syd-dc1,active,Internal,Device staging and provisioning area
Floor 01,UK-LON-CO1,,floor-01-uk-lon-co1,active,Internal,Corporate office floor 1
Floor 02,UK-LON-CO1,,floor-02-uk-lon-co1,active,Internal,Corporate office floor 2
MDF Room,UK-LON-CO1,,mdf-room-uk-lon-co1,active,Internal,Primary network distribution room
IDF 01,UK-LON-CO1,,idf-01-uk-lon-co1,active,Internal,Access switching and patching room
Data Hall 01,DE-BER-DC1,,data-hall-01-de-ber-dc1,active,Internal,Primary compute and network rack space
Meet-Me Room,DE-BER-DC1,,meet-me-room-de-ber-dc1,active,Internal,Carrier and WAN handoff room
MDF Room,DE-BER-DC1,,mdf-room-de-ber-dc1,active,Internal,Core network room
Staging Area,DE-BER-DC1,,staging-area-de-ber-dc1,active,Internal,Device staging and provisioning area
Data Hall 01,JP-TYO-DC1,,data-hall-01-jp-tyo-dc1,active,Internal,Primary compute and network rack space
Meet-Me Room,JP-TYO-DC1,,meet-me-room-jp-tyo-dc1,active,Internal,Carrier and WAN handoff room
MDF Room,JP-TYO-DC1,,mdf-room-jp-tyo-dc1,active,Internal,Core network room
Floor 01,JP-TYO-CO1,,floor-01-jp-tyo-co1,active,Internal,Corporate office floor 1
MDF Room,JP-TYO-CO1,,mdf-room-jp-tyo-co1,active,Internal,Primary network distribution room
Data Hall 01,KR-SEL-DC1,,data-hall-01-kr-sel-dc1,active,Internal,Primary compute and network rack space
Meet-Me Room,KR-SEL-DC1,,meet-me-room-kr-sel-dc1,active,Internal,Carrier and WAN handoff room
Floor 01,ID-JKT-BO1,,floor-01-id-jkt-bo1,active,Internal,Branch office floor 1
MDF Room,ID-JKT-BO1,,mdf-room-id-jkt-bo1,active,Internal,Primary network distribution room
Data Hall 01,FR-PAR-DC1,,data-hall-01-fr-par-dc1,active,Internal,Primary compute and network rack space
Meet-Me Room,FR-PAR-DC1,,meet-me-room-fr-par-dc1,active,Internal,Carrier handoff room
WAN Edge Room,SA-RYD-DC1,,wan-edge-room-sa-ryd-dc1,active,Internal,Regional WAN edge infrastructure room
Floor 01,MX-MXC-BO1,,floor-01-mx-mxc-bo1,active,Internal,Branch office floor 1
MDF Room,MX-MXC-BO1,,mdf-room-mx-mxc-bo1,active,Internal,Primary network distribution room
UPS Room,US-SFO-DC1,,ups-room-us-sfo-dc1,active,Internal,UPS and power backup systems room
Storage Room,US-SFO-DC1,,storage-room-us-sfo-dc1,active,Internal,Hardware and spare storage area
NOC Room,US-SFO-DC1,,noc-room-us-sfo-dc1,active,Internal,Network operations center
Conference Room,US-NYC-CO1,,conference-room-us-nyc-co1,active,Internal,Corporate conference and meeting room
Storage Room,US-NYC-CO1,,storage-room-us-nyc-co1,active,Internal,Office IT equipment storage
Reception Area,CA-TOR-BO1,,reception-area-ca-tor-bo1,active,Internal,Branch office reception area
